L D * / + - = ! < > ( ) { } , ;
1 5 14 9 13 13 7 16 16 16 15 15 15 4 -1 -1 -1
1 1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 3 3 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 5 6 6 6 6 6 -1 6 6 6 6 6 6 6 6 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 -1 -1 -1 -1 8 8 8 8 -1 -1 -1 -1 -1 -1 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 14 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 14
10 10 11 10 10 10 10 10 10 10 10 10 10 10 10 10 10
10 10 11 12 10 10 10 10 10 10 10 10 10 10 10 10 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 8 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
